Gitarre | Musik,Instrument,Saiten,spielen,Konzert
Schnee | weiß,kalt,Winter,Flocken,Schneemann
Regen | Wasser,Tropfen,nass,Wolken,Pfützen
Wind | Luft,blasen,Blätter,stark,Sturm
Feuer | heiß,rot,brennen,Flamme,Wärme
Eis | kalt,gefroren,Winter,Gletscher,schmelzen
Luft | atmen,Wind,Sauerstoff,unsichtbar,Himmel
Erde | Planet,Boden,braun,Welt,Garten
Mond | Nacht,hell,rund,Himmel,Krater
Stern | Himmel,Nacht,funkeln,hell,Licht
Wolke | Himmel,grau,Regen,Wetter,schweben
Donner | Gewitter,laut,Blitz,Krach,Himmel
Blitz | hell,Gewitter,Donner,zucken,gefährlich
Nebel | grau,sehen,undeutlich,feucht,Morgen
Hammer | schlagen,Nagel,Werkzeug,Griff,hart
Säge | schneiden,Holz,Zähne,Werkzeug,Blatt
Schraubenzieher | drehen,Schraube,Werkzeug,Griff,reparieren
Zange | greifen,Werkzeug,fest,Metall,kneifen
Bohrer | Loch,drehen,Werkzeug,bohren,Wand
Nagel | Hammer,Holz,spitz,Metall,schlagen
Schraube | drehen,fest,Gewinde,Metall,anziehen
Leiter | hoch,steigen,Sprossen,klettern,Stufen
Eimer | Wasser,tragen,rund,Griff,voll
Besen | fegen,sauber,Stiel,Borsten,kehren
Staubsauger | saugen,Staub,elektrisch,laut,reinigen
Waschmaschine | waschen,Wäsche,Seife,drehen,sauber
Kühlschrank | kalt,Essen,bewahren,Strom,Tür
Herd | kochen,heiß,Töpfe,Flamme,Küche
Backofen | backen,heiß,Kuchen,Temperatur,Röhre
Spülmaschine | Geschirr,spülen,Wasser,sauber,Maschine
Mikrowelle | warm,schnell,Essen,Strahlen,piepen
Mixer | mischen,Früchte,drehen,laut,Smoothie
Toaster | Brot,rösten,heiß,braun,Scheiben
Wasserkocher | Wasser,kochen,heiß,Dampf,elektrisch
Kaffeemaschine | Kaffee,Filter,heiß,braun,morgens
Staubwedel | Staub,sauber,Federn,wischen,entfernen
Schwamm | nass,sauber,Wasser,weich,Schaum
Handtuch | trocken,Bad,Dusche,weich,abtrocknen
Seife | waschen,Schaum,sauber,Hände,glitschig
Zahnbürste | Zähne,putzen,Borsten,Mund,hygiene
Zahnpasta | Zähne,putzen,weiß,Tube,frisch
Shampoo | Haare,waschen,Flasche,Schaum,sauber
Duschgel | Dusche,waschen,Körper,Flasche,schäumen
Creme | Haut,einreiben,Tube,weich,pflegen
Parfum | Duft,sprühen,riechen,Flasche,elegant
Kamm | Haare,kämmen,Zähne,ordnen,Plastik
Bürste | Haare,bürsten,Borsten,Griff,glätten
Spiegel | Bild,Gesicht,Glas,betrachten,Reflex
Badewanne | baden,Wasser,warm,entspannen,voll
Dusche | waschen,Wasser,Strahl,Bad,nass
Toilette | WC,Spülung,sitzen,Bad,Klo
Waschbecken | Hände,waschen,Wasserhahn,Bad,Seife
Handtuch | trocknen,weich,Bad,Stoff,feucht
Matratze | Bett,weich,schlafen,liegen,Federn
Kissen | Kopf,weich,schlafen,Bett,Bezug
Decke | warm,zudecken,Bett,schlafen,kuschelig
Bettwäsche | Bett,Bezug,schlafen,waschen,Stoff
Kleiderschrank | Kleider,aufhängen,Türen,ordnen,Fächer
Kommode | Schubladen,aufbewahren,Möbel,Holz,Griffe
Nachttisch | Bett,klein,Lampe,Schublade,daneben
Lampe | Licht,hell,Strom,Glühbirne,an
Glühbirne | Licht,Strom,hell,Glas,Gewinde
Kerze | Flamme,Wachs,Licht,brennen,Docht
Streichholz | Feuer,anzünden,Holz,Schwefel,Schachtel
Feuerzeug | Flamme,Feuer,anzünden,Gas,Daumen
Zigarette | rauchen,Tabak,Filter,anzünden,ungesund
Zigarre | rauchen,Tabak,dick,Cuba,anzünden
Pfeife | rauchen,Tabak,Mund,Stiel,stopfen
Aschenbecher | Asche,Zigarette,Glas,rauchen,schmutzig
Ventilator | Luft,Wind,drehen,kühl,Flügel
Heizung | warm,Winter,Wärme,Radiator,heizen
Klimaanlage | kühl,kalt,Luft,Sommer,Temperatur
Thermometer | Temperatur,messen,Grad,Fieber,Quecksilber
Barometer | Luftdruck,Wetter,messen,Instrument,Vorhersage
Wetterhahn | Wind,Richtung,Dach,Hahn,zeigen
Sonnenschirm | Schatten,Sonne,Strand,aufspannen,Schutz
Sonnenbrille | Augen,Sonne,Schutz,dunkel,Gläser
Sonnencreme | Haut,Schutz,Sonne,einreiben,Faktor
Badehose | schwimmen,Strand,Mann,anziehen,Wasser
Badeanzug | schwimmen,Frau,Strand,anziehen,eng
Bikini | schwimmen,Frau,zweiteilig,Strand,knapp
Schwimmbrille | schwimmen,Augen,Wasser,Schutz,Gummi
Taucherbrille | tauchen,unter,Wasser,sehen,Maske
Schnorchel | atmen,tauchen,Wasser,Rohr,Mund
Flossen | schwimmen,Füße,Wasser,schnell,Gummi
Luftmatratze | schwimmen,aufblasen,liegen,Wasser,Strand
Wasserball | spielen,Wasser,rund,werfen,Pool
Eimer | Sand,Strand,Burgen,bauen,Kinder
Schaufel | graben,Sand,Strand,Erde,Stiel
Harke | Garten,Erde,glätten,Zähne,zusammenharken
Gießkanne | Wasser,Blumen,gießen,Garten,Ausguss
Gartenschlauch | Wasser,lang,Garten,spritzen,Rolle
Rasenmäher | Gras,schneiden,Garten,Motor,schieben
Spaten | graben,Erde,Garten,Stiel,Blatt
Hacke | Erde,hacken,Garten,Stiel,lockern
Schere | schneiden,Blätter,zwei,Klingen,Garten
Sense | Gras,schneiden,Stiel,lang,Klinge
Axt | Holz,hacken,scharf,Stiel,spalten
Beil | klein,hacken,Holz,Stiel,Axt
Motorsäge | Baum,schneiden,Motor,laut,Kette
Kettensäge | Holz,Motor,schneiden,gefährlich,Kette
Holz | Baum,brennen,hart,braun,Material
Ast | Baum,Zweig,Holz,Blätter,abbrechen
Zweig | dünn,Ast,Baum,biegen,Blätter
Blatt | grün,Baum,Pflanze,Photosynthese,fallen
Wurzel | Baum,Erde,unter,Wasser,fest
Rinde | Baum,außen,Schutz,braun,dick
Stamm | Baum,dick,Holz,Rinde,gerade
Krone | Baum,oben,Blätter,Äste,rund
Schatten | dunkel,Baum,Schutz,Sonne,kühl
Früchte | Baum,süß,essen,reif,Vitamine
Beeren | klein,süß,rot,sammeln,Wald
Pilze | Wald,essbar,giftig,sammeln,Hut
Moos | grün,weich,feucht,Stein,Wald
Kamelie | rosa,Blüten,Tee,Japan,edel
Hibiskus | rot,groß,Blüten,Tee,tropisch
Bougainvillea | bunt,Kletterpflanze,mediterran,Dornen,Papier
Oleander | rosa,giftig,mediterran,immergrün,Strauch
Olivenbaum | Oliven,mediterran,silber,Blätter,alt
Zitronenbaum | gelb,Früchte,sauer,mediterran,Duft
Orangenbaum | orange,süß,Früchte,mediterran,Vitamin
Apfelbaum | Äpfel,Blüten,rosa,Obstbaum,Ernte
Kirschbaum | Kirschen,weiß,Blüten,rot,Früchte
Pflaumenbaum | Pflaumen,lila,oval,Steinobst,süß
Birnbaum | Birnen,gelb,süß,Obstbaum,saftig
Pfirsichbaum | Pfirsiche,rosa,weich,pelzig,süß
Aprikosenbaum | Aprikosen,orange,klein,süß,Marille
Quittenbaum | Quitten,gelb,hart,Gelee,Duft
Feigenbaum | Feigen,süß,mediterran,groß,Blätter
Nussbaum | Nüsse,Walnüsse,Holz,wertvoll,knacken
Mandelbaum | Mandeln,rosa,Blüten,mediterran,Marzipan
Weinrebe | Trauben,Wein,Ranken,klettern,Herbst
Hopfen | Bier,Ranken,grün,Zapfen,klettern
Efeu | immergrün,klettert,Wand,giftig,Beeren
Wilder Wein | rot,Herbst,Wand,fünf,Blätter
Clematis | Waldrebe,Kletterpflanze,Blüten,lila,giftig
Glyzinie | Blauregen,hängende,Trauben,lila,Duft
Geißblatt | süß,Duft,Nacht,gelb,Nektar
Knöterich | schnell,wachsend,Unkraut,rosa,hartnäckig
Bambus | hohl,Stängel,grün,schnell,Asia
Schilf | Wasser,hoch,braun,Rispen,Teich
Binsen | Wasser,rund,Stängel,flechten,Körbe
Segge | Gras,drei,kantig,feucht,Wiese
Farne | Wedel,Schatten,feucht,Sporen,grün
Moose | weich,grün,feucht,Schatten,Polster
Flechten | grau,Stein,Symbiose,Luft,Zeiger
Algen | Wasser,grün,Schleim,Sauerstoff,Teich
Pilze | Hut,Stiel,Wald,feucht,Myzel
Champignons | weiß,essbar,Zucht,Wald,braun
Pfifferlinge | gelb,essbar,Wald,Trichter,köstlich
Steinpilze | braun,dick,Stiel,essbar,wertvoll
Maronen | braun,Röhren,essbar,Nadelwald,fest
Austernpilze | grau,essbar,Baum,Zucht,weich
Shiitake | braun,Asia,Heilung,Zucht,umami
Fliegenpilz | rot,weiß,Punkte,giftig,Märchen
Knollenblätterpilz | grün,giftig,tödlich,weiß,Lamellen
Pantherpilz | braun,weiß,Punkte,giftig,Wald
Boviste | rund,weiß,Sporen,platzen,Staub
Morcheln | wabenförmig,Frühling,essbar,selten,teuer
Trüffel | schwarz,unter,Erde,teuer,Schweine
Schimmel | grün,Brot,feucht,ungesund,Sporen
Hefe | Brot,gehen,Pilz,Bier,Zucker
Bakterien | klein,Mikroben,Krankheit,unsichtbar,vermehren
Viren | noch,kleiner,Krankheit,Computer,vermehren
Amöben | Einzeller,Wasser,bewegen,fressen,teilen
Pantoffeltierchen | Einzeller,bewimpert,Wasser,oval,schwimmen
Quallen | Wasser,durchsichtig,Tentakeln,brennen,schweben
Korallen | Meer,bunt,Riff,hart,Polypen
Seesterne | fünf,Arme,Meer,regenerieren,langsam
Seeigel | stachelig,rund,Meer,Schale,violett
Muscheln | zwei,Schalen,Meer,Perlen,Filter
Austern | Muscheln,Perlen,essbar,Meer,aphrodisierend
Schnecken | Haus,langsam,Schleim,Spirale,Garten
Regenwürmer | lang,Erde,Regen,graben,nützlich
Ameisen | klein,Staat,fleißig,Haufen,tragen
Bienen | Honig,Waben,Königin,stechen,sammeln
Wespen | gelb,schwarz,stechen,aggressiv,Nest
Hummeln | dick,pelzig,brummen,Blüten,friedlich
Schmetterlinge | bunt,Flügel,Blüten,Raupen,flattern
Käfer | hart,Panzer,sechs,Beine,krabbeln
Marienkäfer | rot,Punkte,Glück,Blattläuse,rund
Mistkäfer | braun,Kugel,rollen,stark,Mist
Hirschkäfer | groß,Geweih,braun,Eiche,selten
Glühwürmchen | leuchten,Nacht,grün,romantisch,Juni
Libellen | vier,Flügel,Wasser,schillern,räuberisch
Mücken | stechen,klein,Blut,summen,nervig
Fliegen | summen,Müll,lästig,sechs,Beine
Spinnen | acht,Beine,Netz,Gift,Angst
Zecken | Blut,Wald,gefährlich,Krankheit,festbeißen
Flöhe | springen,Blut,Hunde,klein,jucken
Läuse | Haare,Blut,jucken,Kinder,Nissen
Wanzen | flach,Blut,Bett,stinken,braun
Schaben | braun,Küche,Ekel,schnell,Unkraut
Silberfischchen | silber,Bad,feucht,Papier,nachtaktiv
Hundertfüßer | viele,Beine,schnell,giftig,lang
Tausendfüßer | rund,rollen,viele,Beine,harmlos
Asseln | grau,rollen,feucht,14,Beine
Krebse | rot,Scheren,Wasser,Panzer,kochen
Garnelen | rosa,Wasser,gekrümmt,Schwanz,essbar
Hummer | groß,Scheren,Meer,rot,teuer
Languste | ohne,Scheren,Meer,Antennen,teuer
Tintenfisch | acht,Arme,Tinte,intelligent,Meer
Kraken | groß,Tintenfisch,Saugnäpfe,intelligent,gefährlich
Kalmar | lang,Tentakeln,Meer,Ringe,tief
Sepia | braun,Tinte,Knochen,Meer,Tarnung
Nautilus | Spirale,Schale,Tentakeln,Meer,alt
Haie | Zähne,gefährlich,Meer,Knorpel,Jäger
Rochen | flach,Sand,Stachel,elektrisch,gleiten
Störe | groß,Kaviar,alt,Knorpel,Fluss
Aale | lang,schlängeln,elektrisch,glitschig,Fluss
Lachse | rosa,Fluss,springen,wandern,essbar
Forellen | Fluss,Punkte,springen,Bach,essbar
Karpfen | Teich,Schuppen,Weihnachten,Schlamm,zäh
Hechte | Zähne,Räuber,gr
